site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
Mira Mesa Comfort Station,"8575 New Salem Street, 92126",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mira Mesa Gil Johnson Recreation Center,"8575 New Salem Street, 92126",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Elizabeth Rabbitt Comfort Station,"6622 Duck Pond Lane, 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Miramar Overlook Comfort Station,"11417 Scripps Ranch Blvd, 92131",0,0,7:00am - Dusk,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ellen Browning Scripps (La Jolla Cove) Comfort Station,"1146 Coast Blvd., 92037",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Golf Clubhouse,"2702 N. Mission Bay Dr., 92109",0,0,Clubhouse Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Emerald Hills Comfort Station,"1501 Kelton Road, 92114",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Encanto Comfort Station,"6508 Wunderlin Ave., 92114",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Encanto Recreation Center,"6508 Wunderlin Ave., 92114",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Encanto Teen Center,"6508 Wunderlin Ave., 92114",0,0,Teen Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Fiesta Island Youth Camp Comfort Station,"1750 Fiesta Island Rd, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Unknown,Mission Bay Park - Robb Field Jim Howard Hall,0,0,"2525 Bacon Street, 92107",Building Hours,True,Unknown,[],2x/day,City of San Diego,1703891400.79689,1703891400.79689
Mission Bay Park - Robb Field Recreation Center,"2525 Bacon Street, 92107",0,0,Rec. Center Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Robb Field Restroom #1,"2525 Bacon Street, 92107",0,0,During Field Use,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Robb Field Restroom #2,"2525 Bacon Street, 92107",0,0,8:00am - Dusk,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Faultline Park,14th Street and Island Avenue,0,0,6:00am - 9:00pm,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Beach Park/Belmont Park - Ocean Front Walk at South Parking Lot Comfort Station,"3146 Mission Blvd, San Diego, CA 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Beach Park/Belmont Park - Ocean Front Walk/Ventura Place Comfort Station,"3146 Mission Blvd, San Diego, CA 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Golden Hill Comfort Station #1,"27th St. & Russ Blvd., 92102",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Golden Hill Recreation Center,2600 Golf Course Dr. 92102,0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Grant Hill Portable Restroom,"2632 J St, 92102",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Highland Ranch Comfort Station,"12140 Eastbourne Road, 92128",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
North Clairemont Recreation Center,"4421 Bannock Avenue, 92117",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
North Park Comfort Station,"4044 Idaho St., 92104",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Hilltop Recreation Center,"14000 McEntee St., 92129",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
North Park Recreation Center,"4044 Idaho St., 92104",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Hollywood Comfort Station,"2301 Shamrock St., 92105",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ocean Air Comfort Station,"4770 Fairport Ave, 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ocean Air Recreation Center,"4770 Fairport Ave, 92130",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
