site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
Balboa Park Golf Course - 18-Hole On-Course Restroom #2,"2600 Golf Course Dr., 92102",0,0,On Course Dawn to Dusk,Daily,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Chollas Lake Portable Toilet,"6350 College Grove Dr., 92105",0,0,Sunrise to Sunset,M-W-F,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Chollas Park - North Chollas Portable Toilet,Chollas Station Road,0,0,Sunrise to Sunset,M-W-F,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Gloria's Mesa Portable Toilet,"6350 College Grove Dr., 92105",0,0,Sunrise to Sunset,M-W-F,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Los Peñasquitos Canyon Preserve West Staging Area Portable Toilet,4300 Sorrento Valley Blvd,0,0,Dawn to Dusk,Weekly,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Marian Bear Park Comfort Station West,Just east of Genesee Avenue and south of State Route 52 (under freeway ramp),0,0,24 hrs.,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Marian Bear Park Comfort Station East,Just east of Regents Road and south of State Route 52,0,0,24 hrs.,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Otay Valley Regional Park Hollister Staging Area ADA Portable Toilet,"350 Hollister Street, 92154",0,0,24 hrs.,M-W-F,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Otay Valley Regional Park Mace Street Equestian Staging Area,"210 Mace Street, Chula Vista, 91911",0,0,8:00am - 5:00pm,Daily,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Otay Valley Regional Park Rios Staging Area ADA Portable Toilet,"1769 Rios Ave, Chla Vista 91911 but this is located with in the SD municipality",0,0,24 hrs.,M-W-F,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Torrey Pines Golf Course - On-Course Restroom - North #1,"11480 N. Torrey Pines Rd., 92037",0,0,Dawn to Dusk,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Torrey Pines Golf Course - On-Course Restroom - North #2,"11480 N. Torrey Pines Rd., 92037",0,0,Dawn to Dusk,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Torrey Pines Golf Course - On-Course Restroom - South #1,"11480 N. Torrey Pines Rd., 92037",0,0,Dawn to Dusk,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Torrey Pines Golf Course - On-Course Restroom - South #2,"11480 N. Torrey Pines Rd., 92037",0,0,Dawn to Dusk,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Mission Trails Regional Park Barker Way (Portable Toilet),"6900 Barker Way, 92119",0,0,24 hrs.,3x/week,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Marian Bear Park Comfort Station West of Regents,Just west of Regents Road and south of State Route 52,0,0,24 hrs.,2x/day,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
City College Campus Building A,"1313 Park Boulevard, 92101",0,0,6:00am - 5:00pm Mon-Thu,Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
1000,Morena Blvd & Tecolote Rd,0,0,"1350 Morena Blvd, San Diego, CA 92110",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
50,Presidio Park,0,0,"4398 Taylor St, San Diego, CA 92110",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
35,Ocean Beach Pier,0,0,"5091 Niagara Avenue, San Diego, CA 92107",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
996,Old Town State Historic Park - Parking Lot A,0,0,"2749 Congress Street, San Diego, CA 92110",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
994,Balboa Park - 6th Ave & Thorn St,0,0,"3241 Sixth Ave, San Diego, CA 92103",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
995,Balboa Park - 6th Ave & Grape St,0,0,"1998 Sixth Ave, San Diego, CA 92101",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
1006,Sports Arena Blvd - near Airport parking (2 of 2),0,0,"2652 Sports Arena Blvd, San Diego, CA 92110",Unknown,True,Unknown,[],Unknown,County of San Diego,1703891400.79689,1703891400.79689
384,Saturn Blvd & Boundary Ave,0,0,"501 Saturn Blvd, San Diego, CA 92154",Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
1005,Sports Arena Blvd - near Goodwill (1 of 2),0,0,"2670 Sports Arena Blvd, San Diego, CA 92110",Unknown,True,Unknown,[],Unknown,County of San Diego,1703891400.79689,1703891400.79689
1002,Cudahy Pl & Grant St,0,0,"1033 Cudahy Pl, San Diego, CA 92110",24 hrs.,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
Little Italy,805 W. Cedar St,0,0,Unknown,Unknown,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Children’s Park,"326 W Harbor Dr, 92101",0,0,24 hrs.,"2x/day (morning/afternoon), afternoon as needed",True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
NW corner @ 10th & Broadway,"1045 Ninth Avenue, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
NE corner @ Park & Broadway,"1200 Broadway, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
NE wall on 7th Ave & E Street,"707 Broadway Ave, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
NE wall on 15th Ave & F Street,"776 15th Street, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
South wall on K Street & 15th Street,"1425 K Street, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
11th/K St/Park Blvd,"315 11th Ave, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
"17th Street, midblock between Commercial St & Logan Avenue","119 17th St, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
NW corner @ 2nd Ave & Cedar,"1628 2nd Avenue, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
"North wall on F Street, midblock between 7th & 8th","732 F St, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
West wall on 19th St & Commercial Ave,"101 19th Street, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
SE corner 16th & National Ave,"1572 National Ave, San Diego CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Island Ave at 19th Street,"1845 Island Ave, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
G Street & 10th Avenue,"1009 10th Avenue, San Diego, CA 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
UCSD Central Campus Station,"San Diego, CA 92093",0,0,Unknown,Unknown,True,Unknown,[],UCSD,Unknown,1703891400.79689,1703891400.79689
UCSD Health La Jolla Station,"San Diego, CA 92037",0,0,Unknown,Unknown,True,Unknown,[],UCSD,Unknown,1703891400.79689,1703891400.79689
Old Town (inside A-mart),"4009 Taylor St, San Diego, CA 92110",0,0,Unknown,Unknown,True,Unknown,[],A-Mart,Unknown,1703891400.79689,1703891400.79689
12th & Imperial Transit Center (inside Mills Building),"Trolley Plaza, San Diego, CA 92101",0,0,Unknown,Unknown,True,Unknown,[],Mills Building,Unknown,1703891400.79689,1703891400.79689
San Ysidro (at CBP facility and pay restrooms inside McDonald’s Building & along Rail Court),"727 E San Ysidro Blvd, San Ysidro, CA 92173",0,0,24 hrs,Unknown,True,Unknown,[],Unknown,Unknown,1703891400.79689,1703891400.79689
