id,site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
586da5cc-f214-4096-b786-8c2ca2730245,Mountain View Comfort Station,"551 S. 40th St., 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
985fa74a-b4f4-4223-bd93-436e12d3198f,Mountain View Recreation Center,"551 S. 40th St., 92113",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
082457b2-45ee-42b8-8c88-c093b172e0e2,Mt. Acadia Comfort Station,"3865 Mt Acadia Boulevard, 92111",,,24 hrs.,Daily,,,,City of San Diego,,,
80c54834-30be-46e3-9cd7-d328a7630e0a,Mt. Etna Comfort Station,"4741 Mt Etna Drive, 92117",,,24 hrs.,Daily,,,,City of San Diego,,,
05b78e8c-afe6-4761-8387-30a88c8820fe,Naval Training Center Comfort Station #1,"Cushing Rd. & Rosevelt, 92106",,,Sunrise to Sunset,Daily,,,,City of San Diego,,,
cb8b4d56-2f69-475e-9111-5b136a623f0e,Naval Training Center Comfort Station #2,"Cushing Rd. & Farragut St., 92106",,,Sunrise to Sunset,Daily,,,,City of San Diego,,,
8f36d00b-2621-45e0-8daa-ca71ae5b3d45,Naval Training Center Comfort Station #3,"2775 1/3 Cushing Rd., 92106",,,Sunrise to Sunset,Daily,,,,City of San Diego,,,
55321187-c1b3-4e67-b38a-f5db7746dc8c,North Park Adult Center,2719 Howard Avenue,,,Adult Center Hours,Daily,,,,City of San Diego,,,
1f00057d-c810-4d50-a786-633a66155c5b,Ocean Beach Recreation Center,"1984 Ebers St., 92107",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
ce77988c-152a-47ac-b8d9-b7437365db21,Olive Grove Comfort Station,"6075 Printwood Way, 92117",,,24 hrs.,Daily,,,,City of San Diego,,,
9baec608-ca76-4225-af13-e7b457e48b61,Palm Ridge Comfort Station,"751 Firethorn St., 92154",,,24 hrs.,Daily,,,,City of San Diego,,,
6f6a4976-ed50-4a8c-bd1a-5e236d8e5c33,Peñasquitos Skate Park Restroom,"10129 Carmel Mountain Rd., 92129",,,Skate Park Hours,Daily,,,,City of San Diego,,,
f63ba008-e705-487f-babb-6de3f6431212,Presidio Park Recreation Center,"2811 Jackson St., 92110",,,Rec. Center Hours,2x/day,,,,City of San Diego,,,
30d9a039-b337-446c-baa8-b1ffa4e4a164,Rancho Bernardo Comfort Station #1,"18448 W Bernardo Drive, 92127",,,24 hrs.,Daily,,,,City of San Diego,,,
13785612-dfd3-4542-be3b-875c6a08d9cf,Rancho Bernardo Comfort Station #2,"18448 W Bernardo Drive, 92127",,,24 hrs.,Daily,,,,City of San Diego,,,
ef8b635c-0d33-4992-bdb9-97076f6a949d,Rancho Bernardo Ed Brown Senior Center,"18402 W Bernardo Drive, 92127",,,Senior Center Hours,Daily,,,,City of San Diego,,,
33b2d17e-b5e7-4068-b98c-700b6f45438c,Rancho Bernardo Recreation Center,"18448 W Bernardo Drive, 92127",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
0c3533a2-a32d-4a50-adba-b6c669477dcb,Robert Egger-South Bay Recreation Center,"1885 Coronado Ave., 92154",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
8481d2ab-93ef-4463-b120-7d4ea2c981a7,Sabre Springs Comfort Station,"12953 Sabre Springs Parkway, 92128",,,24 hrs.,Daily,,,,City of San Diego,,,
90d5bd27-c9e5-45c4-9e7f-125abcfa46e4,Sage Canyon Comfort Station,"5252 Harvest Run Drive, 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
71627b8d-6982-4e75-bf1d-24cc096e7f7c,Scripps-Miramar Ranch Comfort Station,"11424 Blue Cypress Dr., 92131",,,24 hrs.,Daily,,,,City of San Diego,,,
d51fb8e3-f9b7-4305-b5b2-763da6c8998e,Scripps-Miramar Ranch Recreation Center,"11424 Blue Cypress Dr., 92131",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
530cb7d6-c357-48b9-8235-0b0b7f5e1d95,Sefton Fields Portable Restroom,"2508 Hotel Circle Place, 92108",,,During field use,Daily,,,,City of San Diego,,,
5d82397d-0ef4-4bc1-b660-f6d3c74449d1,Silver Wing Comfort Station,"3737 Arey Dr. , 92154",,,24 hrs.,Daily,,,,City of San Diego,,,
d6e75e8f-445b-4205-a6d1-f9664b853110,Silver Wing Recreation Center,"3737 Arey Dr. , 92154",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
4ea163bb-6118-4959-9430-f2e59c2ef1aa,Solana Ranch Park Comfort Station,13605 Pacific Highlands Ranch Pkwy 92130,,,24 hrs.,Daily,,,,City of San Diego,,,
ea210ace-35b8-46eb-af6c-34ce8b928edf,South Clairemont Recreation Center,"3577 Clairemont Dr., 92117",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
b6f827b8-90b4-4a56-b380-77470c7adf34,Southcrest Comfort Station,"1297 S 40th St, 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
b18b54a2-afcf-46e2-b2c2-b29b3a21d6bf,Southcrest Recreation Center,"1297 S 40th St, 92113",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
9df28374-31eb-44eb-b4a7-80b00aadd3fe,Southcrest Teen Center,"1297 S 40th St, 92113",,,Teen Center Hours,Daily,,,,City of San Diego,,,
f81161d1-29cb-4719-bedb-2df30282aca6,Spring Canyon Comfort Station,"11157 Scripps Poway Pkwy., 92131",,,24 hrs.,Daily,,,,City of San Diego,,,
e3dc0a3f-955d-44e0-85dc-505c4a0d269a,Standley Recreation Center,"3547 Governor Dr., 92122",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
5a68c8de-86d0-4205-9a8e-9c6a4e34a741,Stonebridge Comfort Station,15030 Sycamore Trail Road,,,24 hrs.,Daily,,,,City of San Diego,,,
3a632be5-0802-4e07-9638-2df7ee74248d,Sunshine Berardini Field Comfort Station,"4416 Federal Blvd., 92102",,,Little League Hours,Daily,,,,City of San Diego,,,
38a30d1d-0eea-4c49-9170-392c8f7c7412,Sycamore Canyon Comfort Station,13745 Stonebridge Pkwy.,,,24 hrs.,Daily,,,,City of San Diego,,,
b9ed1a62-ad92-4164-a556-50a552bd0bac,Tecolote Comfort Station,"1701 Tecolote Rd., 92110",,,24 hrs.,Daily,,,,City of San Diego,,,
54cf232f-a52b-4725-b56a-2c334955f7e2,Tecolote Recreation Center,"1701 Tecolote Rd., 92110",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
765b0bf0-d24f-4dd3-ab2f-70ff3af2734f,Teralta Comfort Station,"4100 Central Ave., 92105",,,24 hrs.,Daily,,,,City of San Diego,,,
0435a56f-4ebc-44d2-ae81-8d82b3059ff5,Tierrasanta Comfort Station,"11220 Clairemont Mesa Bl., 92124",,,24 hrs.,Daily,,,,City of San Diego,,,
17bc7fb8-a115-418b-9996-840bc3baf5cb,Willie Henderson Sports Complex Portable Restroom,"1092 S 45th Street, 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
f430ab16-30ef-41ef-ad33-f125fa64df4d,Willie Henderson Sports Complex Recreation Center,"1092 S 45th Street, 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
fa2810a3-de5b-4bd1-a451-3eaa2844c1d6,Gaslamp Square Park (Tin Fish Restaurant),"170 Sixth Avenue, 92101",,,6:00am - 9:00pm,6x/day,,,,City of San Diego,,,
3d52770b-0c70-47d8-beff-9329ff8c9f5a,Tecolote Nature Center,"5180 Tecolote Rd, 92110",,,7:30am - 3:30pm,2x/day,,,,City of San Diego,,,
d2010a1f-6b22-4590-9d82-5dd7eab54e97,Horton Plaza Park,"900 Fourth Ave, 92101",,,Temporarily Closed,Daily,,,,City of San Diego,,,
51b2f179-363f-44d1-8184-a1b4fa134407,Civita Central Park - South,"7960 Civita Blvd, 92108",,,24 hrs.,Daily,,,,City of San Diego,,,
49f0c769-bddf-461e-bdaf-4dd0a09323ec,Civita Central Park - North,"7960 Civita Blvd, 92108",,,24 hrs.,Daily,,,,City of San Diego,,,
6506035b-6a2a-49ec-8c88-b4041d45fd26,Tierrasanta Hex Building,"11220 Clairemont Mesa Bl., 92124",,,Building Hours,Daily,,,,City of San Diego,,,
0e7890fb-8128-4851-9f32-86d4c94823e0,Tierrasanta Recreation Center,"11220 Clairemont Mesa Bl., 92124",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
fa9a4307-af11-451f-8bda-4c9fd662dddf,Torrey Highlands Comfort Station,"4450 Lansdale Dr., 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
838f15f5-35be-4e77-a033-0c94fb0e4ead,Torrey Pines Golf Clubhouse,"11480 N. Torrey Pines Rd., 92037",,,Clubhouse Hours,Daily,,,,City of San Diego,,,
66b15145-58be-417f-a64c-28b08a1f6962,Tourmaline Surfing Beach Restroom,"601 Tourmaline Street, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
6d9e3923-668d-47a8-ab22-a598de10f1e1,University Gardens Comfort Station,"6431 Gullstrand Street, 92122",,,24 hrs.,Daily,,,,City of San Diego,,,
a165e3e6-bda0-4260-9830-277ab27957ff,Views West Comfort Station,"12904 La Tortola, 92129",,,24 hrs.,Daily,,,,City of San Diego,,,
062d9dac-a05d-49a3-b878-c6b4e7471f76,Ward Canyon Comfort Station,"4642 40th Street, 92116",,,24 hrs.,Daily,,,,City of San Diego,,,
bcd2cb6e-0c24-43e3-807d-8a408d6012c1,Westview Comfort Station,"11278 Westview Parkway, 92126",,,24 hrs.,Daily,,,,City of San Diego,,,
0b15963f-c5e4-459e-84cb-f5c616f695d3,Windansea Beach Portable Restroom,"6950 Neptune Place, 92037",,,24 hrs.,Daily,,,,City of San Diego,,,
08efb090-966d-436c-9cee-119c30547df4,Balboa Park - Frisbee Golf Course Comfort Station,"3090 Pershing Drive, 92104",,,24 hrs.,2x/day,,,,City of San Diego,,,
